Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
9.9339E+8	3.6346E+1	1.3732E+1	7.5890E-1
1.0892E+9	3.6967E+1	1.2446E+1	7.5419E-1
1.1943E+9	3.6516E+1	1.2889E+1	8.5637E-1
1.3095E+9	3.5342E+1	1.2898E+1	9.3967E-1
1.4359E+9	3.5800E+1	1.2284E+1	9.8128E-1
1.5744E+9	3.6300E+1	1.1000E+1	1.0000E+0
1.6125E+9	3.6890E+1	1.1173E+1	1.0023E+0
1.6957E+9	3.6729E+1	1.1036E+1	1.0412E+0
1.7833E+9	3.6584E+1	1.0831E+1	1.0745E+0
1.8754E+9	3.6557E+1	1.0667E+1	1.1129E+0
1.9723E+9	3.6339E+1	1.0500E+1	1.1521E+0
2.0742E+9	3.6265E+1	1.0358E+1	1.1952E+0
2.1813E+9	3.6084E+1	1.0215E+1	1.2396E+0
2.2939E+9	3.5917E+1	1.0190E+1	1.3004E+0
2.4124E+9	3.5785E+1	1.0158E+1	1.3633E+0
2.5370E+9	3.5638E+1	1.0089E+1	1.4239E+0
2.6681E+9	3.5447E+1	1.0007E+1	1.4853E+0
2.8059E+9	3.5280E+1	1.0026E+1	1.5650E+0
2.9508E+9	3.5100E+1	1.0023E+1	1.6454E+0
3.1032E+9	3.4913E+1	9.9619E+0	1.7198E+0
3.2635E+9	3.4706E+1	9.9639E+0	1.8090E+0
3.4320E+9	3.4524E+1	1.0008E+1	1.9109E+0
3.6093E+9	3.4283E+1	1.0029E+1	2.0137E+0
3.7957E+9	3.4089E+1	9.9906E+0	2.1097E+0
3.9917E+9	3.3970E+1	1.0065E+1	2.2352E+0
4.1979E+9	3.3694E+1	1.0277E+1	2.4000E+0
4.4147E+9	3.3537E+1	1.0456E+1	2.5680E+0
4.6427E+9	3.3186E+1	1.0537E+1	2.7215E+0
4.8825E+9	3.2829E+1	1.0702E+1	2.9070E+0
5.1347E+9	3.2489E+1	1.0968E+1	3.1330E+0
5.3999E+9	3.2057E+1	1.1014E+1	3.3087E+0
5.6788E+9	3.1580E+1	1.1135E+1	3.5180E+0
5.9721E+9	3.1079E+1	1.1176E+1	3.7132E+0
6.2806E+9	3.0760E+1	1.1367E+1	3.9718E+0
